gene,validation,localization
YAL008W,Verified,ion
YBR255W,Verified,biological_process
YGR164W,Dubious,biological_process
YGR131W,Verified,protein,ion
YNL003C,Verified,transport,ion
YBR135W,Verified,regulation,ion,positive
YBR160W,Verified,negative,regulation,ion,repair,positive,catabolic process,transport,protein
YJL082W,Verified,protein
YJL142C,Dubious,ion
YPL191C,Verified,biological_process
YGL215W,Verified,positive,regulation,ion
YKL074C,Verified,ion
YJL077C,Verified,copper,ion
YIL124W,Verified,catabolic process
YPL039W,Uncharacterized,biological_process
YNL170W,Dubious,biological_process
YGL141W,Verified,protein,ion,catabolic process
YJL179W,Verified,protein,ion,positive,regulation
YKL083W,Dubious,biological_process
YOR009W,Verified,biological_process
YKL029C,Verified,metabolic process
YPL166W,Verified
YKL052C,Verified,positive,regulation,ion
YHR025W,Verified,metabolic process,ion
YOL034W,Verified,repair,ion
YBL008W,Verified,negative,regulation,ion
YIL062C,Verified,ion
YCL023C,Dubious,biological_process
YOL116W,Verified,positive,regulation,catabolic process,ion
YDR196C,Verified
YNL255C,Verified,positive,regulation,ion
YNR032W,Verified,metabolic process,protein,ion
YNR045W,Verified,positive,regulation,ion
YML105C,Verified,protein,ion,targeting
YNL288W,Verified,regulation,ion,positive
YIL059C,Dubious,biological_process
YIL004C,Verified,transport,ion
YNR018W,Verified
YPL144W,Verified,protein
YFR047C,Verified
YHR078W,Uncharacterized,biological_process
YJR115W,Uncharacterized,biological_process
YLR355C,Verified
YGR099W,Verified,protein,ion
YLR300W,Verified,metabolic process,ion
YBL003C,Verified,repair
YJR140C,Verified,ion,positive,regulation,histone,negative
YOR033C,Verified,repair,ion
YOR062C,Uncharacterized,biological_process
YBR043C,Verified,transport
YHR112C,Verified,metabolic process
YLR011W,Verified,ion
YHR007C,Uncharacterized
YKR103W,Verified
YKR084C,Verified,positive,regulation,ion,catabolic process
YER121W,Uncharacterized,biological_process
YCR046C,Verified,ion
YNL144C,Uncharacterized,biological_process
YKL204W,Verified,ion,catabolic process,negative,regulation
YOR266W,Verified,protein,ion
YDR393W,Verified,ion,membrane organization
YGL171W,Verified,ion
YPR194C,Verified,transport,ion,regulation,positive
YGR019W,Verified,catabolic process
YNL208W,Verified,biological_process
YJL188C,Dubious
YLL057C,Verified,catabolic process
YBR296C,Uncharacterized,transport,ion
YNL277W,Verified,metabolic process,ion
YMR040W,Verified,biological_process
YDR077W,Verified,ion
YMR266W,Verified,transport
YKR064W,Verified,negative,regulation,ion
YPL089C,Verified,ion,positive,regulation
YGR277C,Verified
YDL139C,Verified,ion,protein,negative,regulation,catabolic process
YDR246W,Uncharacterized,transport,ion
YOR288C,Verified,protein
YCR028C,Verified,transport
YML054C,Uncharacterized,metabolic process
YLR179C,Verified,biological_process
YOR141C,Verified,repair,ion
YPL280W,Verified
YBL106C,Verified,transport
YGL044C,Verified,ion
YER107C,Verified,ion,regulation
YBR038W,Verified,ion
YGR259C,Dubious,biological_process
YEL047C,Verified
YPR016C,Verified,ion
YLR157C,Uncharacterized,catabolic process,starvation,ion
YDL055C,Verified,protein,ion
YML009C,Verified,ion
YML072C,Verified,regulation,ion,membrane organization
YDR142C,Verified,protein
YFL044C,Verified,regulation,ion,protein
YKL019W,Verified,ion,protein
YJL130C,Verified,metabolic process,negative,regulation,ion
YBL085W,Verified,ion
YBR116C,Dubious,biological_process
YDR166C,Verified,transport
YDR082W,Verified,negative,regulation,ion
YDR348C,Verified
YKL182W,Verified
YDR333C,Verified,protein,catabolic process
YPL027W,Verified
YIR012W,Verified
YLR363C,Verified,catabolic process
YDR179C,Verified,ion
YML089C,Dubious,biological_process
YLR431C,Verified,positive,regulation,ion,protein
YKR046C,Verified,ion
YJR005W,Verified
YJL116C,Verified,ion
YER030W,Verified
YHR041C,Verified,negative,regulation,protein,ion,positive
YJR072C,Verified,transport,ion
YDR047W,Verified
YKR039W,Verified,transport
YGL003C,Verified
YPL009C,Verified,protein,catabolic process
YDR268W,Verified,ion
YGL192W,Verified,ion,negative,regulation
YDL117W,Verified
YMR131C,Verified
YMR293C,Verified,ion
YJL214W,Verified,transport
YIL105C,Verified,regulation,ion,transport,protein
YML126C,Verified
YLR189C,Verified,metabolic process
YIL150C,Verified,repair,ion
YLR349W,Dubious,biological_process
YGL250W,Verified,ion
YBR212W,Verified,ion
YJR109C,Verified
YLR254C,Verified,ion
YGR085C,Verified,ion
YPL105C,Verified,ion
YGR145W,Verified,ion
YGR110W,Verified,metabolic process
YKL177W,Dubious,biological_process
YGL154C,Verified,protein
YOR010C,Verified
YDL215C,Verified,metabolic process
YKL099C,Verified
YDR315C,Verified,catabolic process
YLR394W,Verified,ion,protein
YNL104C,Verified
YNL151C,Verified,ion
YNR066C,Uncharacterized,biological_process
YLR220W,Verified,transport,ion
YIL045W,Verified,regulation,ion
YMR232W,Verified,ion,regulation
YNL083W,Verified,transport
YMR238W,Verified
YER168C,Verified,ion
YPL265W,Verified,transport
YOR227W,Verified,ion
YOR081C,Verified,ion
YEL026W,Verified,ion
YGR050C,Uncharacterized,biological_process
YDR021W,Verified,ion
YGL063W,Verified
YPL212C,Verified
YOL157C,Verified,catabolic process
YOR345C,Dubious,biological_process
YPR095C,Verified,protein,targeting,transport,positive,regulation,ion
YOR310C,Verified
YDR188W,Verified,protein
YAL027W,Verified,repair,positive,regulation,ion
YGL236C,Verified,ion
YHR133C,Verified
YDR017C,Verified,regulation,ion
YIL090W,Verified,ion,protein,targeting
YBR183W,Verified,catabolic process
YOL048C,Verified
YCR007C,Uncharacterized,biological_process
YGR290W,Dubious,biological_process
YEL004W,Verified,transport
YPR057W,Verified
YLL032C,Verified,biological_process
YDR116C,Verified,ion
YDR299W,Verified,ion
YLR030W,Uncharacterized,biological_process
YDR122W,Verified,protein,ion
YOL062C,Verified,transport,protein
YNL234W,Verified,biological_process
YLR467W,Verified,ion
YJL194W,Verified,ion,regulation
YOL015W,Verified,biological_process
YDL070W,Verified,negative,regulation,ion
YOR241W,Verified,metabolic process
YLR056W,Verified
YPR039W,Dubious,biological_process
YKL110C,Verified,ion,regulation
YBR280C,Verified,protein,catabolic process
YLR204W,Verified
YML097C,Verified,protein,targeting,transport,ion
YKR007W,Verified,ion,protein
YDL096C,Dubious,biological_process
YHR193C,Dubious,protein,ion,targeting
YBL099W,Verified,transport
YJR035W,Verified,histone,repair,ion
YOR126C,Verified,metabolic process
YMR023C,Verified,ion
YOR119C,Verified,ion,protein,negative,regulation,positive
YNL187W,Verified
YMR141C,Uncharacterized,biological_process
YLL014W,Verified,protein
YBL062W,Dubious,biological_process
YCR061W,Uncharacterized
YOR199W,Dubious,biological_process
YPR115W,Verified,positive,regulation,transport,ion
YHR088W,Verified,ion
YBR017C,Verified,protein,ion
YPR162C,Verified,ion
YGR166W,Verified,protein,transport
YDL161W,Verified,ion
YKL050C,Verified,biological_process
YJR055W,Verified,ion
YGL099W,Verified,ion
YFL030W,Verified,ion
YIL119C,Verified,protein,ion,positive,regulation
YPL193W,Verified
YNL005C,Verified,ion
YGL217C,Dubious,biological_process
YJL144W,Verified,ion
YLR379W,Dubious,biological_process
YJR139C,Verified,ion
YBR133C,Verified,ion,protein,catabolic process,regulation
YBR162C,Verified,biological_process
YNL331C,Verified,metabolic process
YJL079C,Verified,transport
SCER_lnc1695,NA
YGL019W,Verified,regulation,ion,protein
YGR201C,Uncharacterized,biological_process
YNL172W,Verified,ion,protein,catabolic process
YNL058C,Uncharacterized,biological_process
YPL160W,Verified,ion,regulation
YNL023C,Verified,biological_process
YDR214W,Verified,protein
YIL126W,Verified,repair,ion
YLR295C,Verified,transport,ion
YHR168W,Verified,ion
YOR064C,Verified,ion,histone,positive,regulation
YOR159C,Verified
YOL081W,Verified,negative,regulation,ion,positive,protein,transport,copper
YOL036W,Uncharacterized,biological_process
YGL148W,Verified
YBR282W,Verified,ion
YDR194C,Verified,ion
YOL114C,Verified,ion
YNL257C,Verified,transport,positive,regulation,ion
YNR030W,Verified,protein,ion
YKL076C,Dubious,biological_process
YDR466W,Verified,ion
YFR045W,Uncharacterized,transport
YIL002C,Verified,ion
YGR159C,Verified
YGL089C,Verified
YFR032C,Uncharacterized,biological_process
YNL118C,Verified,ion,positive,regulation
YGL228W,Verified
YJR117W,Verified,protein,ion
YLR357W,Verified,repair,ion
YER127W,Verified
YBL015W,Verified,metabolic process
YLR017W,Verified,ion
YHR110W,Verified,transport
YBR041W,Verified,metabolic process
YOR394W,Verified,biological_process
YPL078C,Verified,transport,protein,ion
YCL068C,Uncharacterized,biological_process
YDL039C,Verified,ion
YKL202W,Dubious,biological_process
YOR264W,Verified,biological_process
YGR184C,Verified,protein,ion,catabolic process,regulation,transport
YOR366W,Dubious,biological_process
YNL275W,Verified,protein,targeting,transport
YAR015W,Verified
YOR384W,Verified,biological_process
YLL051C,Verified,ion,copper
YDR395W,Verified,transport
YLR079W,Verified,regulation,protein,ion,negative
YLR408C,Verified
YMR093W,Verified,ion,positive,regulation
YKR066C,Verified
YDR079W,Verified
YMR268C,Verified
YOR169C,Dubious,biological_process
YML070W,Verified,catabolic process
YPR072W,Verified,ion,regulation,protein,positive
YMR108W,Verified
YCR091W,Verified,ion,protein
YER062C,Verified,metabolic process
YDR244W,Verified,protein
YER189W,Uncharacterized,biological_process
YJL009W,Dubious,biological_process
YDL137W,Verified
YGR271W,Verified,ion,regulation
YDR233C,Verified,ion
YGR071C,Verified,protein,ion
YCR106W,Verified
YBL100C,Dubious,biological_process
YDR489W,Verified,repair,ion
YPL282C,Verified,biological_process
SCER_lnc0058,NA
SCER_lnc0054,NA
YDL057W,Uncharacterized,biological_process
YPR014C,Dubious,biological_process
SCER_lnc0057,NA
SCER_lnc0050,NA
YEL045C,Dubious,biological_process
YPL235W,Verified,regulation,ion,histone
YLR122C,Dubious,biological_process
YLR155C,Verified,catabolic process,starvation,ion
YBL087C,Verified,ion
YJL132W,Uncharacterized,biological_process
YGL190C,Verified,negative,regulation,ion,protein,positive
YBR110W,Verified,protein,ion
YDR144C,Verified,ion
YFL046W,Verified
YOR103C,Verified,protein,ion
YKL137W,Verified
YDR447C,Verified,ion
YAL061W,Uncharacterized,biological_process
YNL324W,Dubious,biological_process
YPR145W,Verified
YJL063C,Verified,ion
YPL021W,Verified
YIR010W,Verified,ion
YDR331W,Verified,protein
YML056C,Verified,biological_process
YKR044W,Verified,biological_process
YLR433C,Verified,ion
YMR068W,Verified,regulation,ion
YFL068W,Uncharacterized,biological_process
YER032W,Verified,ion
YJR070C,Verified,ion
YGL005C,Verified,transport
YHR043C,Verified,metabolic process
YDL111C,Verified,catabolic process,ion
YMR133W,Verified,ion
YPL007C,Verified,ion
YKL159C,Verified
YDR059C,Verified,protein,ion
YBR101C,Verified,ion,protein,catabolic process
YLR396C,Verified,protein,targeting,transport,ion,regulation
YBR245C,Verified,regulation,ion,positive,negative,histone
YJL216C,Verified,catabolic process
YBR210W,Verified,transport,ion
YPL103C,Verified,metabolic process
YIL103W,Verified
YIL152W,Uncharacterized,biological_process
YJR096W,Verified,catabolic process
YAL010C,Verified,ion,transport,protein
YGR143W,Verified,ion
YGR112W,Verified
YLR256W,Verified
YHR174W,Verified,regulation,ion
YOR012W,Uncharacterized,biological_process
YHR062C,Verified,catabolic process
YDL213C,Verified
YDR317W,Verified,repair
YDR478W,Verified
YKL097C,Dubious,biological_process
YNL106C,Verified,ion
YOR378W,Verified,transport
YFR015C,Verified
YMR230W,Uncharacterized,ion
YIL092W,Uncharacterized,biological_process
YLR321C,Verified,repair,ion,regulation
YGR052W,Uncharacterized,protein,ion
YJR161C,Verified,protein,catabolic process,targeting
SCER_lnc1488,NA
YAL066W,Dubious,biological_process
YOR278W,Verified
YNL085W,Verified,ion
YGL061C,Verified,positive,regulation,ion
YPL210C,Verified,protein,ion,targeting
YOR087W,Verified,ion
YGL234W,Verified
YOR347C,Verified,metabolic process
YPR093C,Verified,protein,ion
YAL029C,Verified,ion
YOL155C,Verified,ion
YDR421W,Verified,catabolic process,positive,regulation,ion
YGR186W,Verified,ion,regulation,protein
YDR294C,Verified,metabolic process,starvation,ion
YHR135C,Verified,protein,ion
YDR015C,Dubious,biological_process
YBR181C,Verified,ion
YOR078W,Verified,ion
YOR243C,Verified
YMR165C,Verified,ion
YCR005C,Verified,metabolic process
YGR296W,Verified,ion
YPR055W,Verified,transport
YHR037W,Verified,catabolic process
YLR032W,Verified,protein,ion,repair
YDR114C,Uncharacterized,biological_process
YLL030C,Dubious,biological_process
YLL065W,Dubious,biological_process
YBR099C,Dubious,biological_process
YBL027W,Verified,ion
YOL060C,Verified,ion
YBL033C,Verified
YNL232W,Verified,catabolic process,ion
YDL076C,Verified,negative,regulation,ion
YOR225W,Dubious,biological_process
YDR120C,Verified,ion
YLR465C,Dubious,biological_process
YJL192C,Verified,transport
YLR054C,Verified
YLR009W,Verified
YDR063W,Verified,negative,regulation,ion
YBR209W,Dubious,biological_process
YOR292C,Uncharacterized,biological_process
YER044C,Verified
YDR278C,Uncharacterized,biological_process
YLR105C,Verified,ion
YML091C,Verified,ion,positive,regulation
YHR191C,Verified,ion
YDL098C,Verified
YLR202C,Dubious,biological_process
YKR005C,Uncharacterized,biological_process
YMR143W,Verified,ion
YCR063W,Verified
YNL189W,Verified,protein,targeting,ion
YCL047C,Verified
YGL122C,Verified,ion,regulation,positive,negative,catabolic process
YDL018C,Verified,transport
YNL303W,Dubious,biological_process
YPR160W,Dubious,catabolic process
YBL060W,Verified,protein,ion,positive,regulation
YBR019C,Verified,catabolic process
YKL056C,Verified,ion
YGR160W,Dubious,biological_process
YDL163W,Dubious,biological_process
YPL068C,Uncharacterized,biological_process
YJR057W,Verified
YGL211W,Verified,ion,protein
YFL032W,Dubious,biological_process
YLR377C,Verified,metabolic process
YCL044C,Verified,protein,catabolic process
YAL059W,Verified
YNL007C,Verified,ion,protein,transport,catabolic process
YPL148C,Verified,protein
YJR137C,Verified,ion
YMR021C,Verified,copper,ion,positive,regulation,protein,catabolic process
YMR074C,Verified
YDR378C,Verified,ion
YJR039W,Uncharacterized,biological_process
YDL158C,Dubious,biological_process
YOR104W,Verified,biological_process
YFL009W,Verified,ion,protein,catabolic process
YLR297W,Verified,biological_process
YLR279W,Dubious,biological_process
YDR216W,Verified,ion,negative,regulation,positive,catabolic process
YIL120W,Verified,transport
YNL021W,Verified,negative,regulation,ion,histone,positive
YGR095C,Verified,catabolic process,ion
YCL027W,Verified,regulation,ion,protein
YHR029C,Verified,protein
YAL033W,Verified,catabolic process
YBR284W,Uncharacterized,biological_process
YNR036C,Verified,ion
YNR049C,Verified,ion
YDR192C,Verified,ion,protein
YOL112W,Verified
YML109W,Verified,positive,regulation,ion,protein
YOL083W,Verified,protein,ion,targeting
YNL251C,Verified,ion,catabolic process
YBR266C,Dubious
YBL004W,Verified
YBR164C,Verified,protein,targeting,transport
YHR074W,Verified
YDR464W,Verified,negative,regulation,ion
YFR030W,Verified,ion
YBR131W,Verified,protein,targeting,transport,positive,regulation,ion
YKL078W,Verified,ion
YIL055C,Uncharacterized,biological_process
YPL053C,Verified,protein,ion
YLR351C,Verified,biological_process
YNR014W,Uncharacterized,biological_process
YER125W,Verified,protein,ion,regulation,metabolic process,positive,catabolic process,transport
YER152C,Verified,biological_process
YLR015W,Verified,histone,ion
YHR116W,Verified
YPL259C,Verified,transport
YGR093W,Verified
YDL037C,Verified,biological_process
YLR442C,Verified,negative,regulation,ion,catabolic process
YHL043W,Verified,biological_process
YOR364W,Dubious,biological_process
YOR386W,Verified,repair
YDR397C,Verified,negative,regulation,ion,positive
YPR198W,Verified,transport
YHL038C,Verified
YLL053C,Uncharacterized,biological_process
YDR425W,Verified,transport
YOR331C,Dubious,biological_process
YML076C,Verified,positive,regulation,ion
YKR060W,Verified
YER069W,Verified
YMR091C,Verified,ion
YER012W,Verified,protein,catabolic process
YHR098C,Verified
YDL135C,Verified,ion,regulation
YCR093W,Verified,catabolic process,ion,regulation,positive
YGR273C,Uncharacterized,biological_process
YBR069C,Verified,transport
YGL040C,Verified
YCR104W,Verified,biological_process
YDR040C,Verified,transport,ion,starvation
SCER_lnc0078,NA
YPR012W,Dubious,biological_process
SCER_lnc0072,NA
SCER_lnc0073,NA
YGR255C,Verified
YDL051W,Verified
YBL102W,Verified,transport
YPL237W,Verified,ion
YLR120C,Verified,ion,protein,regulation
YEL043W,Verified,biological_process
YNL068C,Verified,positive,regulation,ion,negative
YJL169W,Dubious,biological_process
YBL002W,Verified
YDR146C,Verified,regulation,ion,positive
YBR112C,Verified,negative,regulation,ion,transport
YBL081W,Uncharacterized,biological_process
