gene,validation,localization,loc2,loc3,loc4,loc5,loc6
YAL008W,Verified,membrane,mitochond
YBR255W,Verified
YGR164W,Dubious,cellular_component
YGR131W,Verified,membrane
YNL003C,Verified,mitochond,membrane
YBR135W,Verified
YBR160W,Verified,nucle,cytoplasm,endoplasm
YJL082W,Verified
YJL142C,Dubious
YPL191C,Verified
YGL215W,Verified
YKL074C,Verified
YJL077C,Verified,cellular_component
YIL124W,Verified,endoplasm
YPL039W,Uncharacterized,cellular_component
YNL170W,Dubious,cellular_component
YGL141W,Verified
YJL179W,Verified
YKL083W,Dubious
YOR009W,Verified
YKL029C,Verified,mitochond
YPL166W,Verified
YKL052C,Verified
YHR025W,Verified,cellular_component
YOL034W,Verified,nucle
YBL008W,Verified,nucle
YIL062C,Verified,membrane,mitochond
YCL023C,Dubious,cellular_component
YOL116W,Verified,nucle
YDR196C,Verified
YNL255C,Verified,cytoplasm
YNR032W,Verified
YNR045W,Verified,membrane,mitochond
YML105C,Verified,endoplasm
YNL288W,Verified
YIL059C,Dubious,cellular_component
YIL004C,Verified,membrane,endoplasm
YNR018W,Verified,membrane,mitochond
YPL144W,Verified
YFR047C,Verified
YHR078W,Uncharacterized
YJR115W,Uncharacterized,cellular_component
YLR355C,Verified,mitochond,nucle
YGR099W,Verified,nucle
YLR300W,Verified,extracellular
YBL003C,Verified,nucle
YJR140C,Verified,nucle
YOR033C,Verified,nucle
YOR062C,Uncharacterized
YBR043C,Verified,membrane
YHR112C,Verified,nucle,cytoplasm
YLR011W,Verified,nucle,cytosol
YHR007C,Uncharacterized,endoplasm
YKR103W,Verified
YKR084C,Verified
YER121W,Uncharacterized,cellular_component
YCR046C,Verified,mitochond,ribosomal
YNL144C,Uncharacterized
YKL204W,Verified,cytoplasm
YOR266W,Verified,membrane,mitochond
YDR393W,Verified,membrane,mitochond
YGL171W,Verified,nucle,nucleolus
YPR194C,Verified,membrane
YGR019W,Verified,cytosol
YNL208W,Verified
YJL188C,Dubious,cellular_component
YLL057C,Verified,cellular_component
YBR296C,Uncharacterized,membrane
YNL277W,Verified
YMR040W,Verified
YDR077W,Verified,mitochond
YMR266W,Verified,membrane
YKR064W,Verified
YPL089C,Verified,nucle
YGR277C,Verified
YDL139C,Verified,nucle
YDR246W,Uncharacterized
YOR288C,Verified
YCR028C,Verified,membrane
YML054C,Uncharacterized,mitochond,membrane
YLR179C,Verified,cytoplasm
YOR141C,Verified,nucle
YPL280W,Verified,cytoplasm
YBL106C,Verified,membrane
YGL044C,Verified
YER107C,Verified,nucle,cytoplasm
YBR038W,Verified
YGR259C,Dubious,cellular_component
YEL047C,Verified,cytosol
YPR016C,Verified,nucle,nucleolus,cytoplasm
YLR157C,Uncharacterized
YDL055C,Verified
YML009C,Verified,mitochond,ribosomal
YML072C,Verified,endoplasm,membrane
YDR142C,Verified,cytosol
YFL044C,Verified
YKL019W,Verified
YJL130C,Verified,cytoplasm,membrane
YBL085W,Verified
YBR116C,Dubious,cellular_component
YDR166C,Verified
YDR082W,Verified
YDR348C,Verified
YKL182W,Verified,cytosol
YDR333C,Verified,cytosol,ribosomal
YPL027W,Verified,membrane
YIR012W,Verified,cytosol
YLR363C,Verified
YDR179C,Verified
YML089C,Dubious,cellular_component
YLR431C,Verified,membrane
YKR046C,Verified
YJR005W,Verified
YJL116C,Verified
YER030W,Verified,nucle
YHR041C,Verified
YJR072C,Verified
YDR047W,Verified
YKR039W,Verified,membrane
YGL003C,Verified
YPL009C,Verified,cytoplasm
YDR268W,Verified,mitochond
YGL192W,Verified
YDL117W,Verified
YMR131C,Verified,nucle,nucleolus
YMR293C,Verified,mitochond,membrane
YJL214W,Verified,membrane
YIL105C,Verified,membrane
YML126C,Verified
YLR189C,Verified
YIL150C,Verified,nucle
YLR349W,Dubious,cellular_component
YGL250W,Verified
YBR212W,Verified,cytoplasm,nucle
YJR109C,Verified
YLR254C,Verified,nucle,cytoplasm
YGR085C,Verified,cytosol,ribosomal
YPL105C,Verified,cytoplasm,membrane
YGR145W,Verified,nucle,nucleolus
YGR110W,Verified,mitochond,membrane
YKL177W,Dubious,cellular_component
YGL154C,Verified,cytoplasm
YOR010C,Verified
YDL215C,Verified
YKL099C,Verified,nucle,nucleolus
YDR315C,Verified,nucle
YLR394W,Verified,nucle
YNL104C,Verified,cytoplasm,mitochond
YNL151C,Verified
YNR066C,Uncharacterized,membrane
YLR220W,Verified,membrane
YIL045W,Verified
YMR232W,Verified,nucle,cytoplasm
YNL083W,Verified,membrane,mitochond
YMR238W,Verified,membrane
YER168C,Verified,nucle,cytoplasm,mitochond
YPL265W,Verified,membrane
YOR227W,Verified
YOR081C,Verified
YEL026W,Verified,nucle,nucleolus
YGR050C,Uncharacterized,cellular_component
YDR021W,Verified,nucle,nucleolus
YGL063W,Verified,mitochond
YPL212C,Verified,nucle
