"genes","wildtype","Biofuel.Production.Strain","pstats","fold.change","l2fc","neg_pL10"
"YAL008W",20.5050950836365,82.5885595907261,8.4742785463477e-07,4.02770917442044,2.00995951557685,6.07189726500418
"YBR255W",11.6188702409504,39.4364375511647,5.05267241641326e-05,3.39417144122774,1.76305943793962,4.29647885777916
"YGR164W",1.72007981258403,1.88180960429121,0.879304264237337,1.0940245856756,0.1296451597335,0.0558608207003641
"YGR131W",4.7052551247429,118.257570133213,0.0507224432067029,25.1330835412829,4.65151577911068,1.29479983545689
"YNL003C",61.0719822909856,85.1429029188963,0.285617556055925,1.39414015600839,0.479375605836169,0.544215101294044
"YBR135W",16.9424971060442,14.4042354640536,0.713524142825692,0.850183734658271,-0.234153436654005,0.146591327498757
"YBR160W",31.6327199981778,45.0390356324479,0.218610465524466,1.42381166194505,0.509758323026271,0.660329050937414
"YJL082W",58.9780443559041,160.015851958174,0.00304215792673294,2.71314272464776,1.43996494246886,2.51681824428421
"YJL142C",2.11253103012514,28.5049036476999,2.55817304385975e-07,13.4932473138685,3.75416568704545,6.59207008165111
"YPL191C",12.2446417173705,16.093292545179,0.488090298700194,1.31431306171652,0.394308958149688,0.311499824309969
"YGL215W",51.1785183799629,110.310775141749,0.122860933017829,2.15541165773445,1.10796343305213,0.91058619092956
"YKL074C",26.0544634216614,74.1751266697308,0.00186218919229518,2.84692589785067,1.50940494190537,2.72997619822266
"YJL077C",18.6732743634439,18.3760049582132,0.972865083712583,0.984080488539672,-0.0231517755950783,0.0119473832278489
"YIL124W",91.0654726850318,132.480809278774,0.161489411862698,1.45478637921296,0.54080732339042,0.791855947143082
"YPL039W",9.2061954820896,34.3921908123531,4.1492905597622e-05,3.73576586324526,1.90140403788482,4.38202615203942
"YNL170W",1.62967624938673,1.7151093748933,0.926554741946224,1.0524233727642,0.0737151940920885,0.0331289169572171
"YGL141W",36.6539170267742,86.8954180655487,0.00955520154694834,2.37069937169539,1.24531272631097,2.01976014798057
"YJL179W",17.8242258586544,6.4392224516789,0.137298798947556,0.36126239101444,-1.46888102312593,0.862333261836298
"YKL083W",0.995516389699473,0.444439079628895,0.175218718597518,0.446440745956038,-1.16345938916724,0.756419500055125
"YOR009W",7.11724540756756,2770.35942229849,0.0788558290256795,389.246016352457,8.60453846422877,1.10316619808498
"YKL029C",49.2885818475336,48.4132804585741,0.981895487752223,0.982241294917612,-0.0258506179858822,0.00793473574462487
"YPL166W",8.20181571659799,11.5194832211695,0.355223401397662,1.40450402925508,0.490060763288079,0.449498431510824
"YKL052C",18.4882226363779,8.3355575995019,0.104508942635307,0.450857703492852,-1.14925592273254,0.98084654619407
"YHR025W",136.551232697199,308.83246505352,0.00657693677090601,2.26166003011011,1.17738208152226,2.18197633332375
"YOL034W",16.4147766713486,21.0278817409791,0.621496423503545,1.28103367849546,0.357308404765965,0.206561366229326
"YBL008W",20.2563497941809,27.1660754324085,0.504494345345261,1.34111405600888,0.423431937496777,0.297143697215204
"YIL062C",112.210435820997,111.106334976935,0.971134164481078,0.990160444204821,-0.0142657784790359,0.0127207671375566
"YCL023C",0.0880539449235596,0.895729429940874,0.00183745820288582,10.1725076680944,3.34660346281116,2.73578253113493
"YOL116W",12.6418757232537,42.7765640604048,0.00159925662254949,3.38371971033704,1.75861006808719,2.79608184218567
"YDR196C",28.5509135854879,19.7804642122738,0.229642928799481,0.692813704648946,-0.529460626379425,0.638946922902912
"YNL255C",88.7268283044936,160.373927266452,0.0122577552737875,1.80750208624701,0.853997312358397,1.91158905359124
"YNR032W",30.5686296327727,42.8248080011758,0.326758010703663,1.4009397384063,0.486394899400278,0.485773756580619
"YNR045W",18.3802553945143,48.0210399505711,0.00637996093674612,2.61264269292489,1.38550983403688,2.19518198037093
"YML105C",43.7442967910546,27.2388807315212,0.201818107955356,0.62268416067192,-0.683427513296564,0.69503986965374
"YNL288W",46.8746452101246,125.60727812326,0.00521654322308265,2.679642215108,1.4220403854041,2.28261718980237
"YIL059C",0.691821432217274,0.0672058313966728,0.0358884861839093,0.0971433209018683,-3.36374138318699,1.4450448603026
"YIL004C",14.2717363893065,30.8922171098394,0.00251023563191143,2.16457313021745,1.11408254290175,2.60028551005849
