"genes","X30.deg","X37.deg","pstats","fold.change","l2fc","neg_pL10"
"YAL008W",11.2904193048482,13.6823095495133,0.214347133068189,1.21185132102561,0.277212709061162,0.668882320882027
"YBR255W",15.1825459837957,16.0585601325153,0.679106542274196,1.05769876472988,0.0809288027726169,0.168062085672415
"YGR164W",0.804817698469682,1.22125588426298,0.102203446993154,1.51743169488585,0.60163157699673,0.990534456599925
"YGR131W",2.5323308248835,3.66252247320235,0.0123668293714047,1.44630489713793,0.532371720491313,1.90774163125246
"YNL003C",18.938738967675,20.9577945537181,0.283490209967138,1.10660982177796,0.146146633671496,0.5474619344101
"YBR135W",11.6028383005473,13.4670768410332,0.187912183507715,1.16067090587636,0.214958971546122,0.726045060992419
"YBR160W",28.3187545300299,30.3629931983327,0.47205886507867,1.07218674345777,0.100556202807893,0.326003842076017
"YJL082W",26.9253565697005,25.8963073011183,0.876704573553697,0.961781406091379,-0.056219059710406,0.0571467278314818
"YJL142C",4.19960684818228,3.52814675837772,0.497860878391472,0.840113583466703,-0.251343701250409,0.302891998983093
"YPL191C",7.08620464915743,7.84764010804721,0.449840236447113,1.10745321319224,0.147245750228299,0.346941701222712
"YGL215W",49.7671320846115,44.577383547534,0.646910475819334,0.895719356939151,-0.158881311012463,0.189155816004831
"YKL074C",19.9573084563662,23.0696265882698,0.147348098645371,1.15594879132666,0.209077487686801,0.831655463839515
"YJL077C",7.15684229734863,7.26686949977558,0.952816373825814,1.01537370782471,0.0220108083926944,0.0209907882579639
"YIL124W",62.6193060976504,44.0219167666312,0.00626886349520631,0.703008696678659,-0.508385558395288,2.20281118684059
"YPL039W",10.7684514138903,11.7601735964814,0.515624874001451,1.09209515319091,0.127098562353067,0.287666140230569
"YNL170W",3.32611784758518,2.33967706381258,0.110834541597144,0.703425786765561,-0.507529871444062,0.955324870589302
"YGL141W",22.8268955058481,26.0526382007366,0.289726267884457,1.14131324577458,0.19069480924533,0.538012127923248
"YJL179W",13.8190116395525,15.7117447071718,0.409280462504311,1.13696587838467,0.185188957991028,0.387978986429947
