"genes","X30.deg","X15.deg","pstats","fold.change","l2fc","neg_pL10"
"YAL008W",11.2904193048482,8.90477842714032,0.251374429442499,0.788702189591536,-0.342447447001086,0.599678902134656
"YBR255W",15.1825459837957,11.7860195360855,0.0791137190713038,0.776287425617857,-0.365337176060889,1.10174819917821
"YGR164W",0.804817698469682,0.719408601570983,0.622947367808811,0.893877710367081,-0.161850622220049,0.205548644891064
"YGR131W",2.5323308248835,1.17743750792984,0.00249697090397279,0.464961961667867,-1.10481540008138,2.60258651824845
"YNL003C",18.938738967675,13.2111712519295,0.0257377871726927,0.697573965958271,-0.519581896349011,1.58942879464997
"YBR135W",11.6028383005473,11.2728348930124,0.825535381462379,0.971558389508942,-0.0416273922073347,0.0832643086585052
"YBR160W",28.3187545300299,21.2878071842428,0.0228982121602647,0.751721166327025,-0.41173046829665,1.64019842505061
"YJL082W",26.9253565697005,20.6939650056489,0.327169315551065,0.768567909289496,-0.37975535537896,0.485227434559836
"YJL142C",4.19960684818228,2.15405704626759,0.117836909802917,0.512918738381411,-0.963197816853239,0.928718655109233
"YPL191C",7.08620464915743,4.27744376569968,0.0213357970910505,0.603629725287186,-0.72826424285231,1.67089112755141
"YGL215W",49.7671320846115,43.6242706667806,0.526030478510424,0.876567904146312,-0.190062239863109,0.278989091843568
"YKL074C",19.9573084563662,21.2910691325377,0.705129414577765,1.06683068907251,0.0933312320036208,0.151731168286565
"YJL077C",7.15684229734863,5.21339479800016,0.289579869943214,0.728449025617282,-0.457100073952627,0.538231631274742
"YIL124W",62.6193060976504,34.9065689824862,0.00664683712240415,0.55744100594235,-0.843108962388731,2.17738496327607
"YPL039W",10.7684514138903,9.04949207200704,0.271874942725609,0.840370794665428,-0.250902069862949,0.565630817191695
"YNL170W",3.32611784758518,2.3180865292792,0.141059418293847,0.696934575232255,-0.520904865505539,0.8505979114477
"YGL141W",22.8268955058481,13.9432586240559,0.0162881561146724,0.610825883900144,-0.711166896892798,1.78812807680553
"YJL179W",13.8190116395525,10.0018736351768,0.140086926077176,0.723776337704908,-0.466384152186312,0.853602394317966
"YKL083W",2.36249051891048,1.89212400180309,0.309500926163798,0.800902262530852,-0.320301899650927,0.509338047040552
"YOR009W",3.90507043021907,5.86427677814446,0.0191595477752081,1.50170832586379,0.586604627970338,1.71761474583417
"YKL029C",46.5113977761903,37.7858350517949,0.216903414710465,0.812399473213378,-0.299738790744056,0.663733610833945
"YPL166W",3.7288421211117,2.20414772014769,0.106404495434123,0.591107815390842,-0.758506799436316,0.973040023347446
"YKL052C",16.7314468616104,15.0939000054419,0.402141818805144,0.902127600218139,-0.148596586925267,0.395620762181936
