"genes","Glucose","Ethanol","pstats","fold.change","l2fc","neg_pL10"
"YAL008W",110.259396489897,79.9536988512199,8.4772851904297e-07,0.725141814634783,-0.463664926983426,6.07174320618485
"YBR255W",32.705423311543,35.9654172245135,0.0464961026249026,1.09967747189561,0.137080452907937,1.33258344881833
"YGR164W",0.316490876638231,0.370891242974054,0.712713736415188,1.17188604901874,0.228832292876166,0.147084870792175
"YGR131W",11.1209473739797,8.86362164778771,0.0271578586664155,0.79702037512797,-0.327311488964782,1.56610447614491
"YNL003C",67.9668131483037,80.2336476957046,2.23025152449093e-05,1.18048270882783,0.239376909782535,4.651646155096
"YBR135W",43.2924419332482,44.8907704677849,0.594501784453734,1.03691934349652,0.052303678854039,0.225846837467078
"YBR160W",63.3285998767035,68.4169708967022,0.0249534244622567,1.08034870548071,0.111497048008959,1.60286984591202
"YJL082W",82.1810860676611,90.7477654152771,0.016702980150583,1.10424149591504,0.143055721806696,1.77720603499103
"YJL142C",1.93672687228004,1.31990229209889,0.106621450774395,0.6815118388609,-0.553189375908882,0.972155412422313
"YPL191C",27.8187649522691,29.3015064767157,0.239029253736788,1.05330004861793,0.0749164686439734,0.621548944411729
"YGL215W",107.737373184743,201.56257108602,1.56551535852315e-13,1.870869551835,0.903708968796925,12.8053426673705
"YKL074C",30.396013211541,35.1148238817515,0.00331785281228181,1.15524439463064,0.208198089410785,2.47914288420427
"YJL077C",32.9017905425642,33.5986834166083,0.668795998857017,1.02118100147597,0.030238602541016,0.174706333774059
"YIL124W",324.520140466438,179.299400182375,8.20633752112329e-10,0.552506232508913,-0.855937356068385,9.08585062476286
"YPL039W",37.3676757328266,41.4250377251604,0.0164823062878439,1.10857945838921,0.148712180323139,1.78298201970165
"YNL170W",0.175234720916167,0.112895220616201,0.325805292676479,0.644251436164928,-0.634304246743933,0.487041864897003
"YGL141W",44.4141335295914,47.5753260968803,0.0769638594456687,1.07117537405481,0.0991946991044106,1.11371316220296
"YJL179W",35.3710782055232,31.7056739217469,0.0393277641903179,0.896372842736698,-0.157829154475684,1.40530074282005
"YKL083W",0.221476103244104,0.208679352475721,0.856594191076036,0.942220625246062,-0.0858631818854247,0.0672248750622341
"YOR009W",7.05190624098138,7.43690604563921,0.623037425073101,1.05459513945612,0.0766892525806981,0.205485865034957
"YKL029C",43.2947853925283,153.349412169918,5.42040081961729e-09,3.54198342316723,1.82455746015013,8.26596859772143
"YPL166W",17.6459973678044,17.1103906135053,0.65596803220408,0.969647124889844,-0.0444682793347777,0.1831173249165
"YKL052C",19.1487059673468,22.866518619601,0.0105114758873366,1.19415477257805,0.255989834224227,1.97833630160014
"YHR025W",237.370941160749,170.404137765022,5.12083967621841e-08,0.717881207075062,-0.478182964129867,7.2906588208896
"YOL034W",24.586788776201,33.8461819327204,1.9646869383176e-06,1.37660034585249,0.461109777523201,5.70670664212972
"YBL008W",29.9100369550208,38.5021540655513,1.4615768630781e-05,1.2872653458587,0.364309469018475,4.83517834053034
"YIL062C",95.0059136329142,95.7521630445006,0.819546699259015,1.00785476801444,0.0112877612972113,0.0864262945002452
"YCL023C",0.0102737325070184,0,0.350616662820207,0,-10,0.455167448199697
"YOL116W",35.7110639418443,35.2035237758394,0.721161645015673,0.985787593255932,-0.0206512709696929,0.141967379288792
"YDR196C",68.0934493376196,59.5756506841233,0.0366984921852353,0.874910160428744,-0.192793212523212,1.43535177904721
"YNL255C",258.560108115345,245.254861815825,0.0544584178706688,0.948540993440549,-0.0762179704278285,1.26393497996299
"YNR032W",43.9929848235247,45.3567115921896,0.407680765137591,1.03099873250554,0.0440425590793572,0.389679778593631
"YNR045W",33.1550834141983,45.6188480689122,3.40375139005714e-06,1.37592318797715,0.460399932672578,5.46804216829053
"YML105C",62.3181229073334,59.841873150443,0.282134933427588,0.960264371881474,-0.0584964437467788,0.549543136972782
"YNL288W",65.91149520145,63.2194767281888,0.157561764174835,0.959157071690858,-0.0601610043635681,0.802549165162296
"YIL059C",0,0,NA,NA,NA,NA
"YIL004C",44.9128803906374,42.0308119592076,0.123093061378469,0.935829801910665,-0.0956819222009786,0.909766427084708
"YNR018W",62.5739951297731,95.6098269927888,1.083139653708e-06,1.52794826020781,0.611595691275877,5.96531554436765
"YPL144W",35.2033917627666,27.6376098091014,0.0013024340823403,0.785083721345644,-0.34908158364778,2.8852442476064
"YFR047C",165.026534043075,156.859069780157,0.0638074350081898,0.950508175486579,-0.0732290590885274,1.19512871320834
"YHR078W",69.1889632700709,71.9469934000583,0.276962540534229,1.03986228438229,0.056392475679365,0.557578965734798
"YJR115W",21.2910385707077,4.28619601831384,4.86504815971903e-07,0.2013145579573,-2.31247659111602,6.31291285623906
"YLR355C",1197.11088938458,1191.6904244448,0.773652583807075,0.995472044413056,-0.00654729320873848,0.111454019688832
"YGR099W",43.3275293206056,37.9233010109872,0.00128070197427885,0.875270332872448,-0.192199423473774,2.8925519209849
"YLR300W",1365.75829413809,1094.24304352882,2.38838815655967e-06,0.801198168244975,-0.319768972122802,5.62189509104642
"YBL003C",516.529961760574,330.382522290913,2.0439365200878e-06,0.639619280099098,-0.644714668132698,5.6895325965039
"YJR140C",28.110096863687,29.4156335032162,0.338559283428179,1.04644369053085,0.0654946818013924,0.470365273178461
"YOR033C",21.1798924593157,30.1734364129573,1.7648073885799e-06,1.42462651644324,0.510583748401181,5.75330268667362
"YOR062C",30.857492785741,18.9860749538708,8.14060316283595e-09,0.615282488622799,-0.700679161891027,8.08934341567754
